Type,Algorithm,Time,Comparisons
ALMOST_1300,MergeSort LCP,2.63838,13943
ALMOST_1300,Ternary QuickSort,1.59498,40845
ALMOST_1300,MSD Radix,1.50031,5898
ALMOST_1300,MSD Radix + Quick,0.393875,8642
WITHPREFIX_1300,std::sort,8.78927,256219
WITHPREFIX_1300,MergeSort,7.05382,193899
WITHPREFIX_1300,MergeSort LCP,5.57326,194051
WITHPREFIX_1300,Ternary QuickSort,0.934025,35263
WITHPREFIX_1300,MSD Radix,3.09631,44720
WITHPREFIX_1300,MSD Radix + Quick,2.24565,46900
RANDOM_1400,std::sort,1.32035,22533
RANDOM_1400,MergeSort,1.71932,17565
RANDOM_1400,MergeSort LCP,3.05447,17600
RANDOM_1400,Ternary QuickSort,0.634809,15380
RANDOM_1400,MSD Radix,1.44526,6256
RANDOM_1400,MSD Radix + Quick,0.406567,8627
REVERSED_1400,std::sort,0.298617,5784
REVERSED_1400,MergeSort,1.2984,10224
REVERSED_1400,MergeSort LCP,2.52588,11470
REVERSED_1400,Ternary QuickSort,2.26094,60746
REVERSED_1400,MSD Radix,1.42333,6260
REVERSED_1400,MSD Radix + Quick,0.6484,15931
ALMOST_1400,std::sort,0.675217,14037
ALMOST_1400,MergeSort,1.41116,15885
ALMOST_1400,MergeSort LCP,2.69454,14833
ALMOST_1400,Ternary QuickSort,1.22926,33294
ALMOST_1400,MSD Radix,1.34555,6220
ALMOST_1400,MSD Radix + Quick,0.428075,9481
WITHPREFIX_1400,std::sort,9.10231,278284
WITHPREFIX_1400,MergeSort,7.55487,210320
WITHPREFIX_1400,MergeSort LCP,6.30278,210528
WITHPREFIX_1400,Ternary QuickSort,0.977467,36640
WITHPREFIX_1400,MSD Radix,3.52776,48200
WITHPREFIX_1400,MSD Radix + Quick,2.47809,50498
RANDOM_1500,std::sort,1.41508,25075
RANDOM_1500,MergeSort,1.79752,19138
RANDOM_1500,MergeSort LCP,3.18357,19114
RANDOM_1500,Ternary QuickSort,0.658734,16063
RANDOM_1500,MSD Radix,1.55928,6778
RANDOM_1500,MSD Radix + Quick,0.434591,9273
REVERSED_1500,std::sort,0.295283,6186
REVERSED_1500,MergeSort,1.3651,11204
REVERSED_1500,MergeSort LCP,2.62877,12331
REVERSED_1500,Ternary QuickSort,2.40849,66408
REVERSED_1500,MSD Radix,1.51555,6662
REVERSED_1500,MSD Radix + Quick,0.747742,18136
ALMOST_1500,std::sort,0.766417,15411
ALMOST_1500,MergeSort,1.60576,17106
ALMOST_1500,MergeSort LCP,3.10175,16216
ALMOST_1500,Ternary QuickSort,1.81866,46881
ALMOST_1500,MSD Radix,1.55917,6704
ALMOST_1500,MSD Radix + Quick,0.501383,10472
WITHPREFIX_1500,std::sort,10.2376,303435
WITHPREFIX_1500,MergeSort,8.18263,228063
WITHPREFIX_1500,MergeSort LCP,6.53116,227865
WITHPREFIX_1500,Ternary QuickSort,1.00341,38752
WITHPREFIX_1500,MSD Radix,3.9231,51746
WITHPREFIX_1500,MSD Radix + Quick,2.6413,54361
RANDOM_1600,std::sort,1.54376,27691
RANDOM_1600,MergeSort,2.02309,20713
RANDOM_1600,MergeSort LCP,3.53227,20694
RANDOM_1600,Ternary QuickSort,0.718133,18115
RANDOM_1600,MSD Radix,1.63826,7218
RANDOM_1600,MSD Radix + Quick,0.467133,10177
REVERSED_1600,std::sort,0.318091,6614
REVERSED_1600,MergeSort,1.48829,12136
REVERSED_1600,MergeSort LCP,2.85913,13335
REVERSED_1600,Ternary QuickSort,3.35882,71711
REVERSED_1600,MSD Radix,1.9605,7176
REVERSED_1600,MSD Radix + Quick,2.374,20257
ALMOST_1600,std::sort,1.76992,17345
ALMOST_1600,MergeSort,3.26521,18600
ALMOST_1600,MergeSort LCP,3.55297,17623
ALMOST_1600,Ternary QuickSort,3.63248,42834
ALMOST_1600,MSD Radix,4.93353,7232
ALMOST_1600,MSD Radix + Quick,1.73058,11332
WITHPREFIX_1600,std::sort,9.63085,266780
WITHPREFIX_1600,MergeSort,7.49064,201276
WITHPREFIX_1600,MergeSort LCP,6.42601,201254
WITHPREFIX_1600,Ternary QuickSort,1.08837,38496
WITHPREFIX_1600,MSD Radix,3.66608,45636
WITHPREFIX_1600,MSD Radix + Quick,2.43148,48444
RANDOM_1700,std::sort,1.60634,29247
RANDOM_1700,MergeSort,2.10148,22302
RANDOM_1700,MergeSort LCP,3.69497,22252
RANDOM_1700,Ternary QuickSort,0.796083,20057
RANDOM_1700,MSD Radix,1.76621,7714
RANDOM_1700,MSD Radix + Quick,0.510833,11115
REVERSED_1700,std::sort,0.328258,7060
REVERSED_1700,MergeSort,1.59194,12997
REVERSED_1700,MergeSort LCP,3.04503,14261
REVERSED_1700,Ternary QuickSort,2.87926,78190
REVERSED_1700,MSD Radix,1.75759,7712
REVERSED_1700,MSD Radix + Quick,0.881375,22147
ALMOST_1700,std::sort,0.926425,19042
ALMOST_1700,MergeSort,1.77731,20570
ALMOST_1700,MergeSort LCP,3.56668,19561
ALMOST_1700,Ternary QuickSort,1.87985,48541
ALMOST_1700,MSD Radix,1.84714,7708
ALMOST_1700,MSD Radix + Quick,0.548909,12191
WITHPREFIX_1700,std::sort,11.4868,336502
WITHPREFIX_1700,MergeSort,9.59772,264395
WITHPREFIX_1700,MergeSort LCP,7.56401,264344
WITHPREFIX_1700,Ternary QuickSort,1.18432,45350
WITHPREFIX_1700,MSD Radix,4.21267,58752
WITHPREFIX_1700,MSD Radix + Quick,3.02532,61881
RANDOM_1800,std::sort,1.80693,31785
RANDOM_1800,MergeSort,2.24478,23930
RANDOM_1800,MergeSort LCP,3.93832,23920
RANDOM_1800,Ternary QuickSort,0.789258,20003
RANDOM_1800,MSD Radix,1.84577,8196
RANDOM_1800,MSD Radix + Quick,0.551517,11850
REVERSED_1800,std::sort,0.358442,7485
REVERSED_1800,MergeSort,1.70405,14088
REVERSED_1800,MergeSort LCP,3.18528,15027
REVERSED_1800,Ternary QuickSort,2.98667,81623
REVERSED_1800,MSD Radix,1.86502,8190
REVERSED_1800,MSD Radix + Quick,0.973484,24490
ALMOST_1800,std::sort,0.929733,19558
ALMOST_1800,MergeSort,1.8877,21770
ALMOST_1800,MergeSort LCP,3.72777,20954
ALMOST_1800,Ternary QuickSort,1.94557,50314
ALMOST_1800,MSD Radix,2.02112,8240
ALMOST_1800,MSD Radix + Quick,0.595167,13282
WITHPREFIX_1800,std::sort,12.5827,367909
WITHPREFIX_1800,MergeSort,10.4097,282835
WITHPREFIX_1800,MergeSort LCP,8.18082,282638
WITHPREFIX_1800,Ternary QuickSort,1.23193,46362
WITHPREFIX_1800,MSD Radix,4.49113,62132
WITHPREFIX_1800,MSD Radix + Quick,3.18785,65683
RANDOM_1900,std::sort,1.83904,33681
RANDOM_1900,MergeSort,2.34123,25614
RANDOM_1900,MergeSort LCP,4.13112,25635
RANDOM_1900,Ternary QuickSort,0.874742,22421
RANDOM_1900,MSD Radix,2.10262,8810
RANDOM_1900,MSD Radix + Quick,0.603158,12875
REVERSED_1900,std::sort,0.383858,7950
REVERSED_1900,MergeSort,1.80184,15151
REVERSED_1900,MergeSort LCP,3.44712,16006
REVERSED_1900,Ternary QuickSort,3.24027,86230
REVERSED_1900,MSD Radix,2.05836,8766
REVERSED_1900,MSD Radix + Quick,1.09708,26538
ALMOST_1900,std::sort,1.03837,21379
ALMOST_1900,MergeSort,2.08771,22863
ALMOST_1900,MergeSort LCP,4.06663,22199
ALMOST_1900,Ternary QuickSort,2.50048,65394
ALMOST_1900,MSD Radix,2.17177,8746
ALMOST_1900,MSD Radix + Quick,0.656408,14242
WITHPREFIX_1900,std::sort,14.7399,389873
WITHPREFIX_1900,MergeSort,10.9502,299732
WITHPREFIX_1900,MergeSort LCP,8.96915,300206
WITHPREFIX_1900,Ternary QuickSort,1.35078,49147
WITHPREFIX_1900,MSD Radix,4.90908,65706
WITHPREFIX_1900,MSD Radix + Quick,3.37746,69556
RANDOM_2000,std::sort,1.92998,35256
RANDOM_2000,MergeSort,2.49492,27186
RANDOM_2000,MergeSort LCP,4.42168,27192
RANDOM_2000,Ternary QuickSort,0.975233,24834
RANDOM_2000,MSD Radix,2.14268,9230
RANDOM_2000,MSD Radix + Quick,0.616275,13480
REVERSED_2000,std::sort,0.397408,8368
REVERSED_2000,MergeSort,1.92212,16281
REVERSED_2000,MergeSort LCP,3.92126,16675
REVERSED_2000,Ternary QuickSort,3.4245,90977
REVERSED_2000,MSD Radix,2.28949,9258
REVERSED_2000,MSD Radix + Quick,1.20501,29032
ALMOST_2000,std::sort,1.09913,22756
ALMOST_2000,MergeSort,2.26818,24498
ALMOST_2000,MergeSort LCP,4.29527,24120
ALMOST_2000,Ternary QuickSort,1.69611,44076
ALMOST_2000,MSD Radix,2.26103,9284
ALMOST_2000,MSD Radix + Quick,0.657391,14795
WITHPREFIX_2000,std::sort,13.3349,407942
WITHPREFIX_2000,MergeSort,11.5798,318380
WITHPREFIX_2000,MergeSort LCP,9.82007,317789
WITHPREFIX_2000,Ternary QuickSort,1.47038,53513
WITHPREFIX_2000,MSD Radix,5.07006,69134
WITHPREFIX_2000,MSD Radix + Quick,3.44908,73238
RANDOM_2100,std::sort,2.07547,37848
RANDOM_2100,MergeSort,2.61145,28951
RANDOM_2100,MergeSort LCP,4.86869,28975
RANDOM_2100,Ternary QuickSort,0.994216,23577
RANDOM_2100,MSD Radix,2.411,9728
RANDOM_2100,MSD Radix + Quick,0.689491,14289
REVERSED_2100,std::sort,0.430208,8790
REVERSED_2100,MergeSort,2.12655,17186
REVERSED_2100,MergeSort LCP,3.95498,17667
REVERSED_2100,Ternary QuickSort,3.57432,98026
REVERSED_2100,MSD Radix,2.36009,9768
REVERSED_2100,MSD Radix + Quick,1.23051,31737
ALMOST_2100,std::sort,1.18716,24607
ALMOST_2100,MergeSort,2.24524,25842
ALMOST_2100,MergeSort LCP,4.30901,25456
ALMOST_2100,Ternary QuickSort,2.0135,53863
ALMOST_2100,MSD Radix,2.32137,9774
ALMOST_2100,MSD Radix + Quick,0.705991,15916
WITHPREFIX_2100,std::sort,14.7759,442743
WITHPREFIX_2100,MergeSort,12.6465,337008
WITHPREFIX_2100,MergeSort LCP,9.76315,336800
WITHPREFIX_2100,Ternary QuickSort,1.46343,55543
WITHPREFIX_2100,MSD Radix,5.26676,72756
WITHPREFIX_2100,MSD Radix + Quick,3.60307,77256
RANDOM_2200,std::sort,2.28187,40167
RANDOM_2200,MergeSort,3.12307,30530
RANDOM_2200,MergeSort LCP,5.10841,30550
RANDOM_2200,Ternary QuickSort,1.08667,26408
RANDOM_2200,MSD Radix,2.62687,10258
RANDOM_2200,MSD Radix + Quick,0.695692,15098
REVERSED_2200,std::sort,0.43025,9208
REVERSED_2200,MergeSort,2.14477,17982
REVERSED_2200,MergeSort LCP,4.14582,19107
REVERSED_2200,Ternary QuickSort,3.66757,101272
REVERSED_2200,MSD Radix,2.32076,10168
REVERSED_2200,MSD Radix + Quick,1.31175,33677
ALMOST_2200,std::sort,1.21309,25589
ALMOST_2200,MergeSort,2.42702,28299
ALMOST_2200,MergeSort LCP,4.56783,27360
ALMOST_2200,Ternary QuickSort,1.75038,47661
ALMOST_2200,MSD Radix,2.6186,10364
ALMOST_2200,MSD Radix + Quick,0.76605,17047
WITHPREFIX_2200,std::sort,15.6885,460447
WITHPREFIX_2200,MergeSort,12.8777,355477
WITHPREFIX_2200,MergeSort LCP,10.1275,355199
WITHPREFIX_2200,Ternary QuickSort,1.56627,57624
WITHPREFIX_2200,MSD Radix,5.72869,76210
WITHPREFIX_2200,MSD Radix + Quick,3.93422,81028
RANDOM_2300,std::sort,2.30322,42344
RANDOM_2300,MergeSort,2.89349,32257
RANDOM_2300,MergeSort LCP,5.18063,32244
RANDOM_2300,Ternary QuickSort,1.12321,28236
RANDOM_2300,MSD Radix,2.68319,10834
RANDOM_2300,MSD Radix + Quick,0.7609,16317
REVERSED_2300,std::sort,0.489458,9696
REVERSED_2300,MergeSort,2.37827,18922
REVERSED_2300,MergeSort LCP,4.48023,20429
REVERSED_2300,Ternary QuickSort,4.10111,106731
REVERSED_2300,MSD Radix,2.91065,10944
REVERSED_2300,MSD Radix + Quick,1.47931,36016
ALMOST_2300,std::sort,1.26812,26663
ALMOST_2300,MergeSort,2.51223,29114
ALMOST_2300,MergeSort LCP,4.7649,27918
ALMOST_2300,Ternary QuickSort,3.02324,82113
ALMOST_2300,MSD Radix,2.54886,10764
ALMOST_2300,MSD Radix + Quick,0.807591,18389
WITHPREFIX_2300,std::sort,16.0836,478164
WITHPREFIX_2300,MergeSort,14.4045,373933
WITHPREFIX_2300,MergeSort LCP,10.7862,374422
